Abidjan,Africa/Abidjan
Guadalcanal,Pacific/Guadalcanal
Guadeloupe,America/Guadeloupe
Guam,Pacific/Guam
Guatemala,America/Guatemala
Guayaquil,America/Guayaquil
Guernsey,Europe/Guernsey
Guyana,America/Guyana
Halifax,America/Halifax
Harare,Africa/Harare
Harbin,Asia/Harbin
Havana,America/Havana
Hawaii,US/Hawaii
Hebron,Asia/Hebron
Helsinki,Europe/Helsinki
Hermosillo,America/Hermosillo
Hobart,Australia/Hobart
Ho_Chi_Minh,Asia/Ho_Chi_Minh
Hong_Kong,Asia/Hong_Kong
Honolulu,Pacific/Honolulu
Hovd,Asia/Hovd
Indianapolis,America/Indianapolis
Indiana-Starke,US/Indiana-Starke
Inuvik,America/Inuvik
Iqaluit,America/Iqaluit
Irkutsk,Asia/Irkutsk
Isle_of_Man,Europe/Isle_of_Man
Istanbul,Asia/Istanbul
Jakarta,Asia/Jakarta
Jan_Mayen,Atlantic/Jan_Mayen
Jayapura,Asia/Jayapura
Jersey,Europe/Jersey
Jerusalem,Asia/Jerusalem
Johannesburg,Africa/Johannesburg
Johnston,Pacific/Johnston
Juba,Africa/Juba
Jujuy,America/Jujuy
Juneau,America/Juneau
Kabul,Asia/Kabul
Kaliningrad,Europe/Kaliningrad
Kamchatka,Asia/Kamchatka
Kampala,Africa/Kampala
Karachi,Asia/Karachi
Kashgar,Asia/Kashgar
Kathmandu,Asia/Kathmandu
Katmandu,Asia/Katmandu
Kerguelen,Indian/Kerguelen
Khandyga,Asia/Khandyga
Khartoum,Africa/Khartoum
Kiev,Europe/Kiev
Kigali,Africa/Kigali
Kinshasa,Africa/Kinshasa
Kiritimati,Pacific/Kiritimati
Kirov,Europe/Kirov
Knox,America/Indiana/Knox
Knox_IN,America/Knox_IN
Kolkata,Asia/Kolkata
Kosrae,Pacific/Kosrae
Kralendijk,America/Kralendijk
Krasnoyarsk,Asia/Krasnoyarsk
Kuala_Lumpur,Asia/Kuala_Lumpur
Kuching,Asia/Kuching
Kuwait,Asia/Kuwait
Lagos,Africa/Lagos
La_Paz,America/La_Paz
La_Rioja,America/Argentina/La_Rioja
LHI,Australia/LHI
Libreville,Africa/Libreville
Lima,America/Lima
Lindeman,Australia/Lindeman
Lisbon,Europe/Lisbon
Ljubljana,Europe/Ljubljana
Lome,Africa/Lome
London,Europe/London
Longyearbyen,Arctic/Longyearbyen
Lord_Howe,Australia/Lord_Howe
Los_Angeles,America/Los_Angeles
Louisville,America/Louisville
Lower_Princes,America/Lower_Princes
Luanda,Africa/Luanda
Lubumbashi,Africa/Lubumbashi
Lusaka,Africa/Lusaka
Luxembourg,Europe/Luxembourg
Macao,Asia/Macao
Macau,Asia/Macau
Maceio,America/Maceio
Macquarie,Antarctica/Macquarie
Madeira,Atlantic/Madeira
Madrid,Europe/Madrid
Magadan,Asia/Magadan
Mahe,Indian/Mahe
Majuro,Pacific/Majuro
Makassar,Asia/Makassar
Malabo,Africa/Malabo
Maldives,Indian/Maldives
Malta,Europe/Malta
Managua,America/Managua
Manaus,America/Manaus
Manila,Asia/Manila
Maputo,Africa/Maputo
Marengo,America/Indiana/Marengo
Mariehamn,Europe/Mariehamn
Marigot,America/Marigot
Marquesas,Pacific/Marquesas
Martinique,America/Martinique
Maseru,Africa/Maseru
Matamoros,America/Matamoros
Mauritius,Indian/Mauritius
Mawson,Antarctica/Mawson
Mayotte,Indian/Mayotte
Mazatlan,America/Mazatlan
Mbabane,Africa/Mbabane
McMurdo,Antarctica/McMurdo
Melbourne,Australia/Melbourne
Mendoza,America/Mendoza
Menominee,America/Menominee
Merida,America/Merida
Metlakatla,America/Metlakatla
Mexico_City,America/Mexico_City
Michigan,US/Michigan
Midway,Pacific/Midway
Minsk,Europe/Minsk
Miquelon,America/Miquelon
Mogadishu,Africa/Mogadishu
Monaco,Europe/Monaco
Moncton,America/Moncton
Monrovia,Africa/Monrovia
Monterrey,America/Monterrey
Montevideo,America/Montevideo
Monticello,America/Kentucky/Monticello
Montreal,America/Montreal
Montserrat,America/Montserrat
Moscow,Europe/Moscow
Mountain,Canada/Mountain
Muscat,Asia/Muscat
Nairobi,Africa/Nairobi
Nassau,America/Nassau
Nauru,Pacific/Nauru
Ndjamena,Africa/Ndjamena
Newfoundland,Canada/Newfoundland
New_Salem,America/North_Dakota/New_Salem
New_York,America/New_York
Niamey,Africa/Niamey
Nicosia,Asia/Nicosia
Nipigon,America/Nipigon
Niue,Pacific/Niue
Nome,America/Nome
Norfolk,Pacific/Norfolk
Noronha,America/Noronha
North,Australia/North
Nouakchott,Africa/Nouakchott
Noumea,Pacific/Noumea
Novokuznetsk,Asia/Novokuznetsk
Novosibirsk,Asia/Novosibirsk
NSW,Australia/NSW
Nuuk,America/Nuuk
Ojinaga,America/Ojinaga
Omsk,Asia/Omsk
Oral,Asia/Oral
Oslo,Europe/Oslo
Ouagadougou,Africa/Ouagadougou
Pacific,Canada/Pacific
Pago_Pago,Pacific/Pago_Pago
Palau,Pacific/Palau
Palmer,Antarctica/Palmer
Panama,America/Panama
Pangnirtung,America/Pangnirtung
Paramaribo,America/Paramaribo
Paris,Europe/Paris
Perth,Australia/Perth
Petersburg,America/Indiana/Petersburg
Phnom_Penh,Asia/Phnom_Penh
Phoenix,America/Phoenix
Pitcairn,Pacific/Pitcairn
Podgorica,Europe/Podgorica
Pohnpei,Pacific/Pohnpei
Ponape,Pacific/Ponape
Pontianak,Asia/Pontianak
Port-au-Prince,America/Port-au-Prince
Port_Moresby,Pacific/Port_Moresby
Porto_Acre,America/Porto_Acre
Port_of_Spain,America/Port_of_Spain
Porto-Novo,Africa/Porto-Novo
Porto_Velho,America/Porto_Velho
Prague,Europe/Prague
Puerto_Rico,America/Puerto_Rico
Punta_Arenas,America/Punta_Arenas
Pyongyang,Asia/Pyongyang
Qatar,Asia/Qatar
Qostanay,Asia/Qostanay
Queensland,Australia/Queensland
Qyzylorda,Asia/Qyzylorda
Rainy_River,America/Rainy_River
Rangoon,Asia/Rangoon
Rankin_Inlet,America/Rankin_Inlet
Rarotonga,Pacific/Rarotonga
Recife,America/Recife
Regina,America/Regina
Resolute,America/Resolute
Reunion,Indian/Reunion
Reykjavik,Atlantic/Reykjavik
Riga,Europe/Riga
Rio_Branco,America/Rio_Branco
Rio_Gallegos,America/Argentina/Rio_Gallegos
Riyadh,Asia/Riyadh
Rome,Europe/Rome
Rosario,America/Rosario
Rothera,Antarctica/Rothera
Saigon,Asia/Saigon
Saipan,Pacific/Saipan
Sakhalin,Asia/Sakhalin
Salta,America/Argentina/Salta
Samara,Europe/Samara
Samarkand,Asia/Samarkand
Samoa,Pacific/Samoa
San_Juan,America/Argentina/San_Juan
San_Luis,America/Argentina/San_Luis
San_Marino,Europe/San_Marino
Santa_Isabel,America/Santa_Isabel
Santarem,America/Santarem
Santiago,America/Santiago
Santo_Domingo,America/Santo_Domingo
Sao_Paulo,America/Sao_Paulo
Sao_Tome,Africa/Sao_Tome
Sarajevo,Europe/Sarajevo
Saratov,Europe/Saratov
Saskatchewan,Canada/Saskatchewan
Scoresbysund,America/Scoresbysund
Seoul,Asia/Seoul
Shanghai,Asia/Shanghai
Shiprock,America/Shiprock
Simferopol,Europe/Simferopol
Sitka,America/Sitka
Skopje,Europe/Skopje
Sofia,Europe/Sofia
South,Australia/South
South_Georgia,Atlantic/South_Georgia
South_Pole,Antarctica/South_Pole
Srednekolymsk,Asia/Srednekolymsk
Stanley,Atlantic/Stanley
St_Barthelemy,America/St_Barthelemy
St_Helena,Atlantic/St_Helena
St_Johns,America/St_Johns
St_Kitts,America/St_Kitts
St_Lucia,America/St_Lucia
Stockholm,Europe/Stockholm
St_Thomas,America/St_Thomas
St_Vincent,America/St_Vincent
Swift_Current,America/Swift_Current
Sydney,Australia/Sydney
Syowa,Antarctica/Syowa
Tahiti,Pacific/Tahiti
Taipei,Asia/Taipei
Tallinn,Europe/Tallinn
Tarawa,Pacific/Tarawa
Tashkent,Asia/Tashkent
Tasmania,Australia/Tasmania
Tbilisi,Asia/Tbilisi
Tegucigalpa,America/Tegucigalpa
Tehran,Asia/Tehran
Tel_Aviv,Asia/Tel_Aviv
Tell_City,America/Indiana/Tell_City
Thimbu,Asia/Thimbu
Thimphu,Asia/Thimphu
Thule,America/Thule
Thunder_Bay,America/Thunder_Bay
Tijuana,America/Tijuana
Timbuktu,Africa/Timbuktu
Tirane,Europe/Tirane
Tiraspol,Europe/Tiraspol
Tokyo,Asia/Tokyo
Tomsk,Asia/Tomsk
Tongatapu,Pacific/Tongatapu
Toronto,America/Toronto
Tortola,America/Tortola
Tripoli,Africa/Tripoli
Troll,Antarctica/Troll
Truk,Pacific/Truk
Tucuman,America/Argentina/Tucuman
Tunis,Africa/Tunis
Ujung_Pandang,Asia/Ujung_Pandang
Ulaanbaatar,Asia/Ulaanbaatar
Ulan_Bator,Asia/Ulan_Bator
Ulyanovsk,Europe/Ulyanovsk
Urumqi,Asia/Urumqi
Ushuaia,America/Argentina/Ushuaia
Ust-Nera,Asia/Ust-Nera
Uzhgorod,Europe/Uzhgorod
Vaduz,Europe/Vaduz
Vancouver,America/Vancouver
Vatican,Europe/Vatican
Vevay,America/Indiana/Vevay
Victoria,Australia/Victoria
Vienna,Europe/Vienna
Vientiane,Asia/Vientiane
Vilnius,Europe/Vilnius
Vincennes,America/Indiana/Vincennes
Virgin,America/Virgin
Vladivostok,Asia/Vladivostok
Volgograd,Europe/Volgograd
Vostok,Antarctica/Vostok
Wake,Pacific/Wake
Wallis,Pacific/Wallis
Warsaw,Europe/Warsaw
Whitehorse,America/Whitehorse
Winamac,America/Indiana/Winamac
Windhoek,Africa/Windhoek
Winnipeg,America/Winnipeg
Yakutat,America/Yakutat
Yakutsk,Asia/Yakutsk
Yancowinna,Australia/Yancowinna
Yangon,Asia/Yangon
Yap,Pacific/Yap
Yekaterinburg,Asia/Yekaterinburg
Yellowknife,America/Yellowknife
Yerevan,Asia/Yerevan
Yukon,Canada/Yukon
Zagreb,Europe/Zagreb
Zaporozhye,Europe/Zaporozhye
Zurich,Europe/Zurich
